province,disaster_group,fatalities
Alberta,Technology,220
British Columbia,Technology,1326
Manitoba,Technology,31
New Brunswick,Technology,20
Newfoundland and Labrador,Technology,432
Northwest Territories,Technology,32
Nova Scotia,Technology,4520
Nunavut,Technology,30
Ontario,Technology,499
Quebec,Technology,1685
Saskatchewan,Technology,79
unknown,Technology,348
