month,day,disaster_group,total_count
12,16,Natural,1
12,17,Natural,1
12,18,Natural,2
12,19,Natural,2
12,20,Natural,5
12,21,Natural,2
12,22,Natural,1
12,24,Natural,4
12,25,Natural,2
12,26,Natural,2
12,27,Natural,2
12,28,Natural,1
12,29,Natural,1
